OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025GP,2025-04-06T21:23:32.323776,13.79321197,.0174439,98.5349,217.0901,109.7723,8.9026,0,U,29893,999,91695,.45596E-3,.488E-5,0
FENGYUN 1C DEB,1999-025GQ,2025-04-06T10:00:53.214048,13.80614239,.0167977,99.5090,149.3541,344.5584,131.9757,0,U,29894,999,91622,.89087E-3,.994E-5,0
FENGYUN 1C DEB,1999-025GR,2025-04-06T17:56:03.652800,14.04732854,.0313454,99.8799,181.9190,303.6633,184.0268,0,U,29895,999,92010,.33452E-2,.8276E-4,0
FENGYUN 1C DEB,1999-025GS,2025-04-06T15:55:10.791840,13.65058978,.0241462,99.4450,355.1366,25.6223,3.9325,0,U,29896,999,90630,.11866E-2,.1129E-4,0
FENGYUN 1C DEB,1999-025GT,2025-04-06T15:26:25.057248,13.56024626,.0305673,98.6399,351.1961,68.1392,323.9980,0,U,29897,999,89549,.50536E-2,.4747E-4,0
FENGYUN 1C DEB,1999-025GU,2025-04-06T20:13:54.257376,13.67556225,.0440176,98.2244,125.0526,141.6980,30.4920,0,U,29898,999,89742,.39324E-2,.6488E-4,0
FENGYUN 1C DEB,1999-025GV,2025-04-06T11:22:41.811456,13.37392283,.0352989,98.6505,288.8528,348.6017,10.7269,0,U,29899,999,88739,.33223E-3,.213E-5,0
FENGYUN 1C DEB,1999-025GX,2025-04-06T13:08:13.853184,13.33085056,.037993,98.7536,303.4722,188.4048,230.8102,0,U,29901,999,88585,.68056E-3,.465E-5,0
FENGYUN 1C DEB,1999-025GZ,2025-04-06T22:32:11.653728,15.46167657,.0021982,98.9353,246.3791,244.8968,114.9996,0,U,29903,999,96394,.1137E-1,.606293E-2,0
FENGYUN 1C DEB,1999-025HA,2025-04-06T13:10:35.132736,14.43438533,.0210836,99.0651,118.2540,341.1482,18.1982,0,U,29904,999,95453,.93044E-3,.4059E-4,0
FENGYUN 1C DEB,1999-025HC,2025-04-06T17:34:16.466592,14.44536770,.0042469,98.6995,193.1582,179.3200,180.8055,0,U,29906,999,94542,.4423E-2,.15442E-3,0
FENGYUN 1C DEB,1999-025HD,2025-04-06T17:33:04.244832,14.10152255,.0085313,99.1240,159.6632,229.4862,260.4010,0,U,29907,999,93073,.25723E-2,.4663E-4,0
FENGYUN 1C DEB,1999-025HF,2025-04-06T12:54:27.336960,14.49925412,.0042471,98.6286,193.2932,60.0951,312.2413,0,U,29909,999,94774,.41811E-2,.16343E-3,0
FENGYUN 1C DEB,1999-025HH,2025-04-06T22:15:01.977408,14.18006740,.0028626,98.7367,144.1042,147.7319,27.1757,0,U,29911,999,93889,.12703E-2,.2569E-4,0
FENGYUN 1C DEB,1999-025HJ,2025-04-06T19:23:45.813696,14.39245413,.0044794,98.7350,188.7813,241.0161,245.7374,0,U,29912,999,94439,.35239E-2,.1103E-3,0
FENGYUN 1C DEB,1999-025HK,2025-04-06T23:10:27.832224,14.07069183,.0061786,98.7834,102.7794,254.0269,168.2268,0,U,29913,999,93452,.62143E-3,.1014E-4,0
FENGYUN 1C DEB,1999-025HL,2025-04-06T20:42:40.722048,14.02992172,.0036741,98.8691,132.0972,92.7581,81.6288,0,U,29914,999,93282,.20804E-3,.282E-5,0
FENGYUN 1C DEB,1999-025HN,2025-04-06T09:03:57.077280,13.56635400,.0273308,99.2145,131.5084,178.0933,303.1230,0,U,29916,999,90057,.11557E-2,.1E-4,0
FENGYUN 1C DEB,1999-025HP,2025-04-06T22:27:29.080800,13.69759730,.0227716,98.8981,337.3738,63.8128,309.7392,0,U,29917,999,90710,.21688E-2,.2239E-4,0
FENGYUN 1C DEB,1999-025HQ,2025-04-06T23:04:31.465056,14.31316414,.0011969,98.8625,174.0020,331.0847,203.9012,0,U,29918,999,94218,.29171E-2,.769E-4,0
FENGYUN 1C DEB,1999-025HR,2025-04-06T23:01:30.057024,13.84974729,.013704,98.4592,275.4825,307.5949,207.1248,0,U,29919,999,92077,.30896E-3,.337E-5,0
